apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-2NICs-layer3+4,0,25.73,0.00
intel,802.3ad-2NICs-layer3+4,1,26.26,0.04
intel,802.3ad-2NICs-layer3+4,2,26.50,0.08
intel,802.3ad-2NICs-layer3+4,4,26.35,0.15
intel,802.3ad-2NICs-layer3+4,8,26.28,0.30
intel,802.3ad-2NICs-layer3+4,16,26.41,0.61
intel,802.3ad-2NICs-layer3+4,32,26.60,1.20
intel,802.3ad-2NICs-layer3+4,64,28.00,2.29
intel,802.3ad-2NICs-layer3+4,128,26.70,4.79
intel,802.3ad-2NICs-layer3+4,256,27.07,9.46
intel,802.3ad-2NICs-layer3+4,512,27.91,18.34
intel,802.3ad-2NICs-layer3+4,1024,28.68,35.70
intel,802.3ad-2NICs-layer3+4,2048,32.46,63.09
intel,802.3ad-2NICs-layer3+4,4096,39.87,102.74
intel,802.3ad-2NICs-layer3+4,8192,45.52,179.98
intel,802.3ad-2NICs-layer3+4,16384,68.51,239.14
intel,802.3ad-2NICs-layer3+4,32768,84.05,389.86
intel,802.3ad-2NICs-layer3+4,65536,113.63,576.75
intel,802.3ad-2NICs-layer3+4,131072,164.61,796.26
intel,802.3ad-2NICs-layer3+4,262144,260.12,1007.79
intel,802.3ad-2NICs-layer3+4,524288,438.10,1196.73
intel,802.3ad-2NICs-layer3+4,1048576,793.81,1320.93
intel,802.3ad-2NICs-layer3+4,2097152,1627.48,1288.59
intel,802.3ad-2NICs-layer3+4,4194304,3242.09,1293.70
intel,802.3ad-2NICs-layer3+4,0,25.32,0.00
intel,802.3ad-2NICs-layer3+4,1,26.08,0.04
intel,802.3ad-2NICs-layer3+4,2,26.31,0.08
intel,802.3ad-2NICs-layer3+4,4,26.30,0.15
intel,802.3ad-2NICs-layer3+4,8,26.42,0.30
intel,802.3ad-2NICs-layer3+4,16,26.05,0.61
intel,802.3ad-2NICs-layer3+4,32,26.19,1.22
intel,802.3ad-2NICs-layer3+4,64,26.19,2.44
intel,802.3ad-2NICs-layer3+4,128,26.36,4.86
intel,802.3ad-2NICs-layer3+4,256,26.58,9.63
intel,802.3ad-2NICs-layer3+4,512,27.26,18.78
intel,802.3ad-2NICs-layer3+4,1024,28.94,35.38
intel,802.3ad-2NICs-layer3+4,2048,32.32,63.37
intel,802.3ad-2NICs-layer3+4,4096,40.06,102.26
intel,802.3ad-2NICs-layer3+4,8192,46.13,177.58
intel,802.3ad-2NICs-layer3+4,16384,68.66,238.64
intel,802.3ad-2NICs-layer3+4,32768,61.72,530.87
intel,802.3ad-2NICs-layer3+4,65536,115.05,569.64
intel,802.3ad-2NICs-layer3+4,131072,165.90,790.05
intel,802.3ad-2NICs-layer3+4,262144,262.06,1000.33
intel,802.3ad-2NICs-layer3+4,524288,438.46,1195.75
intel,802.3ad-2NICs-layer3+4,1048576,793.79,1320.97
intel,802.3ad-2NICs-layer3+4,2097152,1731.47,1211.20
intel,802.3ad-2NICs-layer3+4,4194304,3547.47,1182.34
intel,802.3ad-2NICs-layer3+4,0,27.15,0.00
intel,802.3ad-2NICs-layer3+4,1,26.73,0.04
intel,802.3ad-2NICs-layer3+4,2,26.95,0.07
intel,802.3ad-2NICs-layer3+4,4,26.57,0.15
intel,802.3ad-2NICs-layer3+4,8,26.82,0.30
intel,802.3ad-2NICs-layer3+4,16,26.63,0.60
intel,802.3ad-2NICs-layer3+4,32,26.70,1.20
intel,802.3ad-2NICs-layer3+4,64,26.89,2.38
intel,802.3ad-2NICs-layer3+4,128,26.90,4.76
intel,802.3ad-2NICs-layer3+4,256,27.20,9.41
intel,802.3ad-2NICs-layer3+4,512,27.78,18.43
intel,802.3ad-2NICs-layer3+4,1024,29.02,35.28
intel,802.3ad-2NICs-layer3+4,2048,25.02,81.87
intel,802.3ad-2NICs-layer3+4,4096,28.08,145.85
intel,802.3ad-2NICs-layer3+4,8192,36.83,222.43
intel,802.3ad-2NICs-layer3+4,16384,52.02,314.97
intel,802.3ad-2NICs-layer3+4,32768,53.11,617.01
intel,802.3ad-2NICs-layer3+4,65536,112.78,581.11
intel,802.3ad-2NICs-layer3+4,131072,164.91,794.79
intel,802.3ad-2NICs-layer3+4,262144,261.08,1004.09
intel,802.3ad-2NICs-layer3+4,524288,437.37,1198.72
intel,802.3ad-2NICs-layer3+4,1048576,798.60,1313.01
intel,802.3ad-2NICs-layer3+4,2097152,1716.39,1221.84
intel,802.3ad-2NICs-layer3+4,4194304,3480.13,1205.22
intel,802.3ad-2NICs-layer3+4,0,25.10,0.00
intel,802.3ad-2NICs-layer3+4,1,25.89,0.04
intel,802.3ad-2NICs-layer3+4,2,25.90,0.08
intel,802.3ad-2NICs-layer3+4,4,26.36,0.15
intel,802.3ad-2NICs-layer3+4,8,25.86,0.31
intel,802.3ad-2NICs-layer3+4,16,25.86,0.62
intel,802.3ad-2NICs-layer3+4,32,26.12,1.22
intel,802.3ad-2NICs-layer3+4,64,26.53,2.41
intel,802.3ad-2NICs-layer3+4,128,26.48,4.83
intel,802.3ad-2NICs-layer3+4,256,26.55,9.64
