apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-4NICs-layer2+3,0,26.78,0.00
intel,802.3ad-4NICs-layer2+3,1,26.39,0.04
intel,802.3ad-4NICs-layer2+3,2,26.36,0.08
intel,802.3ad-4NICs-layer2+3,4,26.29,0.15
intel,802.3ad-4NICs-layer2+3,8,26.36,0.30
intel,802.3ad-4NICs-layer2+3,16,26.29,0.61
intel,802.3ad-4NICs-layer2+3,32,26.35,1.21
intel,802.3ad-4NICs-layer2+3,64,26.81,2.39
intel,802.3ad-4NICs-layer2+3,128,26.73,4.79
intel,802.3ad-4NICs-layer2+3,256,26.95,9.50
intel,802.3ad-4NICs-layer2+3,512,27.29,18.76
intel,802.3ad-4NICs-layer2+3,1024,28.82,35.53
intel,802.3ad-4NICs-layer2+3,2048,32.12,63.77
intel,802.3ad-4NICs-layer2+3,4096,39.80,102.92
intel,802.3ad-4NICs-layer2+3,8192,45.85,178.69
intel,802.3ad-4NICs-layer2+3,16384,67.76,241.78
intel,802.3ad-4NICs-layer2+3,32768,53.13,616.71
intel,802.3ad-4NICs-layer2+3,65536,112.86,580.69
intel,802.3ad-4NICs-layer2+3,131072,167.97,780.33
intel,802.3ad-4NICs-layer2+3,262144,260.35,1006.91
intel,802.3ad-4NICs-layer2+3,524288,446.43,1174.39
intel,802.3ad-4NICs-layer2+3,1048576,796.93,1315.76
intel,802.3ad-4NICs-layer2+3,2097152,1661.83,1261.96
intel,802.3ad-4NICs-layer2+3,4194304,3237.38,1295.59
intel,802.3ad-4NICs-layer2+3,0,26.54,0.00
intel,802.3ad-4NICs-layer2+3,1,25.72,0.04
intel,802.3ad-4NICs-layer2+3,2,25.84,0.08
intel,802.3ad-4NICs-layer2+3,4,25.60,0.16
intel,802.3ad-4NICs-layer2+3,8,25.73,0.31
intel,802.3ad-4NICs-layer2+3,16,25.72,0.62
intel,802.3ad-4NICs-layer2+3,32,25.91,1.23
intel,802.3ad-4NICs-layer2+3,64,26.00,2.46
intel,802.3ad-4NICs-layer2+3,128,26.01,4.92
intel,802.3ad-4NICs-layer2+3,256,26.42,9.69
intel,802.3ad-4NICs-layer2+3,512,26.93,19.01
intel,802.3ad-4NICs-layer2+3,1024,28.44,36.01
intel,802.3ad-4NICs-layer2+3,2048,31.21,65.62
intel,802.3ad-4NICs-layer2+3,4096,38.83,105.48
intel,802.3ad-4NICs-layer2+3,8192,45.42,180.34
intel,802.3ad-4NICs-layer2+3,16384,68.14,240.44
intel,802.3ad-4NICs-layer2+3,32768,73.55,445.54
intel,802.3ad-4NICs-layer2+3,65536,111.66,586.90
intel,802.3ad-4NICs-layer2+3,131072,165.23,793.28
intel,802.3ad-4NICs-layer2+3,262144,258.44,1014.34
intel,802.3ad-4NICs-layer2+3,524288,433.24,1210.15
intel,802.3ad-4NICs-layer2+3,1048576,794.08,1320.49
intel,802.3ad-4NICs-layer2+3,2097152,1623.34,1291.87
intel,802.3ad-4NICs-layer2+3,4194304,3398.26,1234.25
intel,802.3ad-4NICs-layer2+3,0,24.88,0.00
intel,802.3ad-4NICs-layer2+3,1,25.60,0.04
intel,802.3ad-4NICs-layer2+3,2,25.71,0.08
intel,802.3ad-4NICs-layer2+3,4,25.59,0.16
intel,802.3ad-4NICs-layer2+3,8,25.63,0.31
intel,802.3ad-4NICs-layer2+3,16,25.53,0.63
intel,802.3ad-4NICs-layer2+3,32,25.94,1.23
intel,802.3ad-4NICs-layer2+3,64,25.82,2.48
intel,802.3ad-4NICs-layer2+3,128,26.44,4.84
intel,802.3ad-4NICs-layer2+3,256,26.05,9.83
intel,802.3ad-4NICs-layer2+3,512,27.00,18.97
intel,802.3ad-4NICs-layer2+3,1024,28.38,36.08
intel,802.3ad-4NICs-layer2+3,2048,31.37,65.28
intel,802.3ad-4NICs-layer2+3,4096,38.98,105.08
intel,802.3ad-4NICs-layer2+3,8192,45.08,181.73
intel,802.3ad-4NICs-layer2+3,16384,66.83,245.17
intel,802.3ad-4NICs-layer2+3,32768,76.40,428.92
intel,802.3ad-4NICs-layer2+3,65536,112.05,584.86
intel,802.3ad-4NICs-layer2+3,131072,164.83,795.17
intel,802.3ad-4NICs-layer2+3,262144,258.16,1015.45
intel,802.3ad-4NICs-layer2+3,524288,436.63,1200.76
intel,802.3ad-4NICs-layer2+3,1048576,787.88,1330.89
intel,802.3ad-4NICs-layer2+3,2097152,1644.06,1275.59
intel,802.3ad-4NICs-layer2+3,4194304,3203.99,1309.09
intel,802.3ad-4NICs-layer2+3,0,25.60,0.00
intel,802.3ad-4NICs-layer2+3,1,26.30,0.04
intel,802.3ad-4NICs-layer2+3,2,26.15,0.08
intel,802.3ad-4NICs-layer2+3,4,26.14,0.15
intel,802.3ad-4NICs-layer2+3,8,26.08,0.31
intel,802.3ad-4NICs-layer2+3,16,26.14,0.61
intel,802.3ad-4NICs-layer2+3,32,26.09,1.23
intel,802.3ad-4NICs-layer2+3,64,26.44,2.42
intel,802.3ad-4NICs-layer2+3,128,26.55,4.82
intel,802.3ad-4NICs-layer2+3,256,26.76,9.57
intel,802.3ad-4NICs-layer2+3,512,27.67,18.50
intel,802.3ad-4NICs-layer2+3,1024,28.59,35.82
intel,802.3ad-4NICs-layer2+3,2048,31.89,64.23
intel,802.3ad-4NICs-layer2+3,4096,39.52,103.66
intel,802.3ad-4NICs-layer2+3,8192,45.20,181.24
intel,802.3ad-4NICs-layer2+3,16384,68.17,240.32
intel,802.3ad-4NICs-layer2+3,32768,81.77,400.75
intel,802.3ad-4NICs-layer2+3,65536,111.33,588.65
intel,802.3ad-4NICs-layer2+3,131072,166.07,789.26
intel,802.3ad-4NICs-layer2+3,262144,259.28,1011.06
intel,802.3ad-4NICs-layer2+3,524288,437.22,1199.14
intel,802.3ad-4NICs-layer2+3,1048576,794.99,1318.98
intel,802.3ad-4NICs-layer2+3,2097152,1625.61,1290.07
intel,802.3ad-4NICs-layer2+3,4194304,3235.21,1296.45
intel,802.3ad-4NICs-layer2+3,0,27.82,0.00
intel,802.3ad-4NICs-layer2+3,1,27.01,0.04
intel,802.3ad-4NICs-layer2+3,2,27.28,0.07
intel,802.3ad-4NICs-layer2+3,4,27.37,0.15
intel,802.3ad-4NICs-layer2+3,8,27.30,0.29
intel,802.3ad-4NICs-layer2+3,16,26.85,0.60
intel,802.3ad-4NICs-layer2+3,32,27.32,1.17
intel,802.3ad-4NICs-layer2+3,64,27.68,2.31
intel,802.3ad-4NICs-layer2+3,128,27.77,4.61
intel,802.3ad-4NICs-layer2+3,256,27.86,9.19
intel,802.3ad-4NICs-layer2+3,512,28.42,18.02
intel,802.3ad-4NICs-layer2+3,1024,29.89,34.26
intel,802.3ad-4NICs-layer2+3,2048,33.27,61.56
intel,802.3ad-4NICs-layer2+3,4096,40.67,100.72
intel,802.3ad-4NICs-layer2+3,8192,46.80,175.05
intel,802.3ad-4NICs-layer2+3,16384,67.65,242.20
intel,802.3ad-4NICs-layer2+3,32768,54.07,606.05
intel,802.3ad-4NICs-layer2+3,65536,113.96,575.08
intel,802.3ad-4NICs-layer2+3,131072,167.01,784.83
intel,802.3ad-4NICs-layer2+3,262144,261.01,1004.35
intel,802.3ad-4NICs-layer2+3,524288,440.79,1189.43
intel,802.3ad-4NICs-layer2+3,1048576,794.48,1319.82
intel,802.3ad-4NICs-layer2+3,2097152,1650.67,1270.49
intel,802.3ad-4NICs-layer2+3,4194304,3253.94,1288.99
intel,802.3ad-4NICs-layer2+3,0,26.58,0.00
intel,802.3ad-4NICs-layer2+3,1,25.89,0.04
intel,802.3ad-4NICs-layer2+3,2,25.89,0.08
intel,802.3ad-4NICs-layer2+3,4,25.75,0.16
intel,802.3ad-4NICs-layer2+3,8,26.06,0.31
intel,802.3ad-4NICs-layer2+3,16,25.80,0.62
intel,802.3ad-4NICs-layer2+3,32,26.05,1.23
intel,802.3ad-4NICs-layer2+3,64,26.47,2.42
intel,802.3ad-4NICs-layer2+3,128,26.17,4.89
intel,802.3ad-4NICs-layer2+3,256,26.62,9.62
intel,802.3ad-4NICs-layer2+3,512,28.55,17.93
intel,802.3ad-4NICs-layer2+3,1024,28.25,36.24
intel,802.3ad-4NICs-layer2+3,2048,31.46,65.10
intel,802.3ad-4NICs-layer2+3,4096,40.41,101.37
intel,802.3ad-4NICs-layer2+3,8192,46.32,176.84
intel,802.3ad-4NICs-layer2+3,16384,67.55,242.55
intel,802.3ad-4NICs-layer2+3,32768,57.42,570.63
intel,802.3ad-4NICs-layer2+3,65536,118.98,550.83
intel,802.3ad-4NICs-layer2+3,131072,165.10,793.90
intel,802.3ad-4NICs-layer2+3,262144,258.38,1014.59
intel,802.3ad-4NICs-layer2+3,524288,438.07,1196.81
intel,802.3ad-4NICs-layer2+3,1048576,859.76,1219.61
intel,802.3ad-4NICs-layer2+3,2097152,1696.63,1236.07
intel,802.3ad-4NICs-layer2+3,4194304,3388.78,1237.70
intel,802.3ad-4NICs-layer2+3,0,25.33,0.00
intel,802.3ad-4NICs-layer2+3,1,26.22,0.04
intel,802.3ad-4NICs-layer2+3,2,25.85,0.08
intel,802.3ad-4NICs-layer2+3,4,26.08,0.15
intel,802.3ad-4NICs-layer2+3,8,25.73,0.31
intel,802.3ad-4NICs-layer2+3,16,25.95,0.62
intel,802.3ad-4NICs-layer2+3,32,26.04,1.23
intel,802.3ad-4NICs-layer2+3,64,26.15,2.45
intel,802.3ad-4NICs-layer2+3,128,26.19,4.89
intel,802.3ad-4NICs-layer2+3,256,26.41,9.69
intel,802.3ad-4NICs-layer2+3,512,27.40,18.69
intel,802.3ad-4NICs-layer2+3,1024,28.10,36.44
intel,802.3ad-4NICs-layer2+3,2048,31.15,65.76
intel,802.3ad-4NICs-layer2+3,4096,38.91,105.26
intel,802.3ad-4NICs-layer2+3,8192,44.93,182.32
intel,802.3ad-4NICs-layer2+3,16384,68.20,240.24
intel,802.3ad-4NICs-layer2+3,32768,89.15,367.57
intel,802.3ad-4NICs-layer2+3,65536,111.00,590.41
intel,802.3ad-4NICs-layer2+3,131072,165.31,792.88
intel,802.3ad-4NICs-layer2+3,262144,258.60,1013.70
intel,802.3ad-4NICs-layer2+3,524288,436.22,1201.88
intel,802.3ad-4NICs-layer2+3,1048576,790.87,1325.85
intel,802.3ad-4NICs-layer2+3,2097152,1626.33,1289.50
intel,802.3ad-4NICs-layer2+3,4194304,3242.60,1293.50
intel,802.3ad-4NICs-layer2+3,0,25.92,0.00
intel,802.3ad-4NICs-layer2+3,1,26.50,0.04
intel,802.3ad-4NICs-layer2+3,2,26.16,0.08
intel,802.3ad-4NICs-layer2+3,4,26.27,0.15
intel,802.3ad-4NICs-layer2+3,8,26.19,0.31
intel,802.3ad-4NICs-layer2+3,16,26.31,0.61
intel,802.3ad-4NICs-layer2+3,32,26.71,1.20
intel,802.3ad-4NICs-layer2+3,64,26.52,2.41
intel,802.3ad-4NICs-layer2+3,128,26.52,4.83
intel,802.3ad-4NICs-layer2+3,256,27.00,9.48
intel,802.3ad-4NICs-layer2+3,512,27.77,18.44
intel,802.3ad-4NICs-layer2+3,1024,28.92,35.41
intel,802.3ad-4NICs-layer2+3,2048,32.04,63.93
intel,802.3ad-4NICs-layer2+3,4096,39.22,104.43
intel,802.3ad-4NICs-layer2+3,8192,45.39,180.47
intel,802.3ad-4NICs-layer2+3,16384,68.30,239.89
intel,802.3ad-4NICs-layer2+3,32768,80.31,408.00
intel,802.3ad-4NICs-layer2+3,65536,111.13,589.72
intel,802.3ad-4NICs-layer2+3,131072,164.60,796.31
intel,802.3ad-4NICs-layer2+3,262144,257.74,1017.07
intel,802.3ad-4NICs-layer2+3,524288,435.17,1204.79
intel,802.3ad-4NICs-layer2+3,1048576,788.65,1329.59
intel,802.3ad-4NICs-layer2+3,2097152,1637.77,1280.49
intel,802.3ad-4NICs-layer2+3,4194304,3230.27,1298.44
intel,802.3ad-4NICs-layer2+3,0,24.89,0.00
intel,802.3ad-4NICs-layer2+3,1,25.56,0.04
intel,802.3ad-4NICs-layer2+3,2,25.59,0.08
intel,802.3ad-4NICs-layer2+3,4,25.67,0.16
intel,802.3ad-4NICs-layer2+3,8,25.62,0.31
intel,802.3ad-4NICs-layer2+3,16,25.58,0.63
intel,802.3ad-4NICs-layer2+3,32,25.88,1.24
intel,802.3ad-4NICs-layer2+3,64,26.22,2.44
intel,802.3ad-4NICs-layer2+3,128,26.70,4.79
intel,802.3ad-4NICs-layer2+3,256,26.32,9.73
intel,802.3ad-4NICs-layer2+3,512,26.82,19.09
intel,802.3ad-4NICs-layer2+3,1024,27.94,36.65
