apps,bondmode,time
ft,802.3ad-4NICs-layer2+3,93.10
is,802.3ad-4NICs-layer2+3,10.08
is,802.3ad-4NICs-layer2+3,10.09
bt,802.3ad-4NICs-layer2+3,140.87
bt,802.3ad-4NICs-layer2+3,141.05
bt,802.3ad-4NICs-layer2+3,141.92
bt,802.3ad-4NICs-layer2+3,141.65
ft,802.3ad-4NICs-layer2+3,92.83
sp,802.3ad-4NICs-layer2+3,190.32
bt,802.3ad-4NICs-layer2+3,141.83
ft,802.3ad-4NICs-layer2+3,93.03
is,802.3ad-4NICs-layer2+3,10.08
sp,802.3ad-4NICs-layer2+3,191.38
is,802.3ad-4NICs-layer2+3,10.12
sp,802.3ad-4NICs-layer2+3,190.46
sp,802.3ad-4NICs-layer2+3,190.95
sp,802.3ad-4NICs-layer2+3,189.84
sp,802.3ad-4NICs-layer2+3,191.05
is,802.3ad-4NICs-layer2+3,10.14
is,802.3ad-4NICs-layer2+3,10.20
is,802.3ad-4NICs-layer2+3,10.18
is,802.3ad-4NICs-layer2+3,10.09
bt,802.3ad-4NICs-layer2+3,142.30
sp,802.3ad-4NICs-layer2+3,190.30
ft,802.3ad-4NICs-layer2+3,93.16
is,802.3ad-4NICs-layer2+3,10.23
bt,802.3ad-4NICs-layer2+3,141.27
bt,802.3ad-4NICs-layer2+3,142.44
ft,802.3ad-4NICs-layer2+3,93.10
ft,802.3ad-4NICs-layer2+3,93.05
sp,802.3ad-4NICs-layer2+3,190.85
bt,802.3ad-4NICs-layer2+3,140.34
ft,802.3ad-4NICs-layer2+3,93.21
ft,802.3ad-4NICs-layer2+3,93.11
sp,802.3ad-4NICs-layer2+3,189.01
is,802.3ad-4NICs-layer2+3,10.10
bt,802.3ad-4NICs-layer2+3,141.47
bt,802.3ad-4NICs-layer2+3,140.47
sp,802.3ad-4NICs-layer2+3,188.77
is,802.3ad-4NICs-layer2+3,10.12
is,802.3ad-4NICs-layer2+3,10.08
sp,802.3ad-4NICs-layer2+3,190.75
ft,802.3ad-4NICs-layer2+3,93.27
ft,802.3ad-4NICs-layer2+3,93.12
bt,802.3ad-4NICs-layer2+3,141.55
ft,802.3ad-4NICs-layer2+3,93.24
sp,802.3ad-4NICs-layer2+3,190.81
bt,802.3ad-4NICs-layer2+3,141.42
sp,802.3ad-4NICs-layer2+3,189.80
sp,802.3ad-4NICs-layer2+3,191.52
bt,802.3ad-4NICs-layer2+3,143.08
sp,802.3ad-4NICs-layer2+3,189.84
ft,802.3ad-4NICs-layer2+3,93.14
sp,802.3ad-4NICs-layer2+3,190.68
ft,802.3ad-4NICs-layer2+3,92.95
bt,802.3ad-4NICs-layer2+3,141.51
bt,802.3ad-4NICs-layer2+3,142.60
is,802.3ad-4NICs-layer2+3,10.07
ft,802.3ad-4NICs-layer2+3,93.03
is,802.3ad-4NICs-layer2+3,10.07
is,802.3ad-4NICs-layer2+3,10.20
is,802.3ad-4NICs-layer2+3,10.24
ft,802.3ad-4NICs-layer2+3,93.15
ft,802.3ad-4NICs-layer2+3,93.37
ft,802.3ad-4NICs-layer2+3,93.04
sp,802.3ad-4NICs-layer2+3,191.84
bt,802.3ad-4NICs-layer2+3,142.03
bt,802.3ad-4NICs-layer2+3,141.29
is,802.3ad-4NICs-layer2+3,10.04
sp,802.3ad-4NICs-layer2+3,190.66
is,802.3ad-4NICs-layer2+3,10.06
bt,802.3ad-4NICs-layer2+3,141.40
is,802.3ad-4NICs-layer2+3,10.16
bt,802.3ad-4NICs-layer2+3,142.32
bt,802.3ad-4NICs-layer2+3,142.15
is,802.3ad-4NICs-layer2+3,10.08
is,802.3ad-4NICs-layer2+3,10.15
sp,802.3ad-4NICs-layer2+3,191.04
sp,802.3ad-4NICs-layer2+3,191.58
sp,802.3ad-4NICs-layer2+3,190.96
sp,802.3ad-4NICs-layer2+3,190.59
sp,802.3ad-4NICs-layer2+3,191.29
ft,802.3ad-4NICs-layer2+3,92.91
sp,802.3ad-4NICs-layer2+3,191.76
ft,802.3ad-4NICs-layer2+3,93.46
is,802.3ad-4NICs-layer2+3,10.15
is,802.3ad-4NICs-layer2+3,10.19
is,802.3ad-4NICs-layer2+3,10.07
bt,802.3ad-4NICs-layer2+3,141.78
bt,802.3ad-4NICs-layer2+3,141.81
is,802.3ad-4NICs-layer2+3,10.12
sp,802.3ad-4NICs-layer2+3,191.74
bt,802.3ad-4NICs-layer2+3,142.05
ft,802.3ad-4NICs-layer2+3,93.27
ft,802.3ad-4NICs-layer2+3,93.16
bt,802.3ad-4NICs-layer2+3,140.99
ft,802.3ad-4NICs-layer2+3,93.14
is,802.3ad-4NICs-layer2+3,10.07
ft,802.3ad-4NICs-layer2+3,93.06
sp,802.3ad-4NICs-layer2+3,191.39
bt,802.3ad-4NICs-layer2+3,140.98
ft,802.3ad-4NICs-layer2+3,93.10
ft,802.3ad-4NICs-layer2+3,93.18
is,802.3ad-4NICs-layer2+3,10.25
ft,802.3ad-4NICs-layer2+3,92.88
sp,802.3ad-4NICs-layer2+3,190.21
bt,802.3ad-4NICs-layer2+3,142.26
ft,802.3ad-4NICs-layer2+3,93.59
is,802.3ad-4NICs-layer2+3,10.29
sp,802.3ad-4NICs-layer2+3,191.23
is,802.3ad-4NICs-layer2+3,10.07
bt,802.3ad-4NICs-layer2+3,141.12
ft,802.3ad-4NICs-layer2+3,93.39
sp,802.3ad-4NICs-layer2+3,192.18
sp,802.3ad-4NICs-layer2+3,190.91
bt,802.3ad-4NICs-layer2+3,141.89
bt,802.3ad-4NICs-layer2+3,142.66
ft,802.3ad-4NICs-layer2+3,92.94
ft,802.3ad-4NICs-layer2+3,93.02
