apps,bondmode,time
ft,802.3ad-2NICs-layer2+3,108.27
ft,802.3ad-2NICs-layer2+3,96.30
is,802.3ad-2NICs-layer2+3,10.09
sp,802.3ad-2NICs-layer2+3,205.45
is,802.3ad-2NICs-layer2+3,12.49
sp,802.3ad-2NICs-layer2+3,198.08
bt,802.3ad-2NICs-layer2+3,164.43
ft,802.3ad-2NICs-layer2+3,112.37
is,802.3ad-2NICs-layer2+3,10.12
is,802.3ad-2NICs-layer2+3,10.08
bt,802.3ad-2NICs-layer2+3,182.89
sp,802.3ad-2NICs-layer2+3,224.22
bt,802.3ad-2NICs-layer2+3,144.72
ft,802.3ad-2NICs-layer2+3,109.62
bt,802.3ad-2NICs-layer2+3,152.72
sp,802.3ad-2NICs-layer2+3,203.45
ft,802.3ad-2NICs-layer2+3,96.40
sp,802.3ad-2NICs-layer2+3,222.37
ft,802.3ad-2NICs-layer2+3,93.44
is,802.3ad-2NICs-layer2+3,13.45
ft,802.3ad-2NICs-layer2+3,94.90
sp,802.3ad-2NICs-layer2+3,211.08
bt,802.3ad-2NICs-layer2+3,145.81
ft,802.3ad-2NICs-layer2+3,94.40
bt,802.3ad-2NICs-layer2+3,159.87
sp,802.3ad-2NICs-layer2+3,198.91
ft,802.3ad-2NICs-layer2+3,93.08
is,802.3ad-2NICs-layer2+3,10.11
is,802.3ad-2NICs-layer2+3,13.26
sp,802.3ad-2NICs-layer2+3,203.95
is,802.3ad-2NICs-layer2+3,10.21
sp,802.3ad-2NICs-layer2+3,200.78
is,802.3ad-2NICs-layer2+3,12.53
ft,802.3ad-2NICs-layer2+3,100.37
ft,802.3ad-2NICs-layer2+3,95.20
bt,802.3ad-2NICs-layer2+3,174.41
ft,802.3ad-2NICs-layer2+3,93.03
bt,802.3ad-2NICs-layer2+3,150.47
ft,802.3ad-2NICs-layer2+3,96.93
bt,802.3ad-2NICs-layer2+3,145.35
ft,802.3ad-2NICs-layer2+3,96.87
sp,802.3ad-2NICs-layer2+3,205.87
sp,802.3ad-2NICs-layer2+3,197.60
sp,802.3ad-2NICs-layer2+3,199.37
ft,802.3ad-2NICs-layer2+3,97.40
ft,802.3ad-2NICs-layer2+3,96.56
is,802.3ad-2NICs-layer2+3,10.07
sp,802.3ad-2NICs-layer2+3,209.06
is,802.3ad-2NICs-layer2+3,11.74
ft,802.3ad-2NICs-layer2+3,104.52
sp,802.3ad-2NICs-layer2+3,200.77
ft,802.3ad-2NICs-layer2+3,95.63
bt,802.3ad-2NICs-layer2+3,169.34
bt,802.3ad-2NICs-layer2+3,145.41
sp,802.3ad-2NICs-layer2+3,221.54
is,802.3ad-2NICs-layer2+3,12.03
sp,802.3ad-2NICs-layer2+3,198.58
bt,802.3ad-2NICs-layer2+3,145.31
bt,802.3ad-2NICs-layer2+3,146.47
bt,802.3ad-2NICs-layer2+3,146.44
is,802.3ad-2NICs-layer2+3,10.16
ft,802.3ad-2NICs-layer2+3,113.43
is,802.3ad-2NICs-layer2+3,12.44
sp,802.3ad-2NICs-layer2+3,199.77
sp,802.3ad-2NICs-layer2+3,201.25
is,802.3ad-2NICs-layer2+3,10.10
ft,802.3ad-2NICs-layer2+3,99.67
sp,802.3ad-2NICs-layer2+3,208.14
ft,802.3ad-2NICs-layer2+3,104.97
bt,802.3ad-2NICs-layer2+3,145.63
ft,802.3ad-2NICs-layer2+3,93.02
bt,802.3ad-2NICs-layer2+3,146.33
ft,802.3ad-2NICs-layer2+3,96.48
bt,802.3ad-2NICs-layer2+3,158.81
bt,802.3ad-2NICs-layer2+3,146.16
bt,802.3ad-2NICs-layer2+3,146.08
is,802.3ad-2NICs-layer2+3,10.08
ft,802.3ad-2NICs-layer2+3,101.45
ft,802.3ad-2NICs-layer2+3,92.89
ft,802.3ad-2NICs-layer2+3,96.59
is,802.3ad-2NICs-layer2+3,13.03
bt,802.3ad-2NICs-layer2+3,146.02
sp,802.3ad-2NICs-layer2+3,200.69
is,802.3ad-2NICs-layer2+3,13.78
is,802.3ad-2NICs-layer2+3,12.25
ft,802.3ad-2NICs-layer2+3,96.81
sp,802.3ad-2NICs-layer2+3,202.44
bt,802.3ad-2NICs-layer2+3,146.60
bt,802.3ad-2NICs-layer2+3,146.03
bt,802.3ad-2NICs-layer2+3,147.66
sp,802.3ad-2NICs-layer2+3,208.57
is,802.3ad-2NICs-layer2+3,10.10
is,802.3ad-2NICs-layer2+3,10.09
is,802.3ad-2NICs-layer2+3,12.74
ft,802.3ad-2NICs-layer2+3,93.51
bt,802.3ad-2NICs-layer2+3,171.66
ft,802.3ad-2NICs-layer2+3,98.95
sp,802.3ad-2NICs-layer2+3,223.83
is,802.3ad-2NICs-layer2+3,10.18
is,802.3ad-2NICs-layer2+3,11.24
sp,802.3ad-2NICs-layer2+3,199.67
is,802.3ad-2NICs-layer2+3,10.05
is,802.3ad-2NICs-layer2+3,13.70
is,802.3ad-2NICs-layer2+3,11.28
bt,802.3ad-2NICs-layer2+3,145.83
sp,802.3ad-2NICs-layer2+3,202.28
sp,802.3ad-2NICs-layer2+3,200.44
bt,802.3ad-2NICs-layer2+3,145.95
