apps,bondmode,time
ft,802.3ad-2NICs-layer2,81.25
is,802.3ad-2NICs-layer2,8.77
is,802.3ad-2NICs-layer2,8.79
sp,802.3ad-2NICs-layer2,204.01
ft,802.3ad-2NICs-layer2,81.31
ft,802.3ad-2NICs-layer2,81.56
is,802.3ad-2NICs-layer2,8.81
bt,802.3ad-2NICs-layer2,142.42
sp,802.3ad-2NICs-layer2,201.19
bt,802.3ad-2NICs-layer2,143.71
bt,802.3ad-2NICs-layer2,143.84
sp,802.3ad-2NICs-layer2,199.54
sp,802.3ad-2NICs-layer2,199.48
is,802.3ad-2NICs-layer2,8.91
is,802.3ad-2NICs-layer2,8.83
is,802.3ad-2NICs-layer2,8.72
ft,802.3ad-2NICs-layer2,81.18
sp,802.3ad-2NICs-layer2,201.07
bt,802.3ad-2NICs-layer2,144.58
bt,802.3ad-2NICs-layer2,142.41
bt,802.3ad-2NICs-layer2,144.98
bt,802.3ad-2NICs-layer2,143.49
ft,802.3ad-2NICs-layer2,81.23
is,802.3ad-2NICs-layer2,8.97
ft,802.3ad-2NICs-layer2,81.52
is,802.3ad-2NICs-layer2,8.73
ft,802.3ad-2NICs-layer2,81.28
sp,802.3ad-2NICs-layer2,202.08
is,802.3ad-2NICs-layer2,8.78
is,802.3ad-2NICs-layer2,8.73
bt,802.3ad-2NICs-layer2,144.56
bt,802.3ad-2NICs-layer2,145.03
sp,802.3ad-2NICs-layer2,200.55
ft,802.3ad-2NICs-layer2,81.49
ft,802.3ad-2NICs-layer2,81.13
is,802.3ad-2NICs-layer2,8.77
bt,802.3ad-2NICs-layer2,144.79
sp,802.3ad-2NICs-layer2,202.10
ft,802.3ad-2NICs-layer2,81.26
ft,802.3ad-2NICs-layer2,81.35
sp,802.3ad-2NICs-layer2,201.56
sp,802.3ad-2NICs-layer2,204.47
bt,802.3ad-2NICs-layer2,143.19
ft,802.3ad-2NICs-layer2,81.44
bt,802.3ad-2NICs-layer2,143.32
ft,802.3ad-2NICs-layer2,81.53
bt,802.3ad-2NICs-layer2,141.61
bt,802.3ad-2NICs-layer2,144.02
bt,802.3ad-2NICs-layer2,143.61
ft,802.3ad-2NICs-layer2,81.13
bt,802.3ad-2NICs-layer2,144.32
is,802.3ad-2NICs-layer2,8.84
bt,802.3ad-2NICs-layer2,144.62
sp,802.3ad-2NICs-layer2,201.98
ft,802.3ad-2NICs-layer2,81.14
is,802.3ad-2NICs-layer2,8.74
sp,802.3ad-2NICs-layer2,201.56
bt,802.3ad-2NICs-layer2,144.98
ft,802.3ad-2NICs-layer2,81.49
is,802.3ad-2NICs-layer2,8.83
is,802.3ad-2NICs-layer2,8.85
bt,802.3ad-2NICs-layer2,142.95
bt,802.3ad-2NICs-layer2,143.10
is,802.3ad-2NICs-layer2,8.84
sp,802.3ad-2NICs-layer2,201.44
is,802.3ad-2NICs-layer2,8.74
is,802.3ad-2NICs-layer2,8.77
bt,802.3ad-2NICs-layer2,143.75
bt,802.3ad-2NICs-layer2,145.02
sp,802.3ad-2NICs-layer2,199.75
ft,802.3ad-2NICs-layer2,81.40
is,802.3ad-2NICs-layer2,8.85
is,802.3ad-2NICs-layer2,8.73
is,802.3ad-2NICs-layer2,8.74
ft,802.3ad-2NICs-layer2,81.40
sp,802.3ad-2NICs-layer2,200.55
sp,802.3ad-2NICs-layer2,199.44
ft,802.3ad-2NICs-layer2,81.32
sp,802.3ad-2NICs-layer2,199.15
ft,802.3ad-2NICs-layer2,81.50
sp,802.3ad-2NICs-layer2,205.78
sp,802.3ad-2NICs-layer2,205.33
is,802.3ad-2NICs-layer2,8.80
sp,802.3ad-2NICs-layer2,203.01
sp,802.3ad-2NICs-layer2,203.45
ft,802.3ad-2NICs-layer2,81.73
sp,802.3ad-2NICs-layer2,202.10
is,802.3ad-2NICs-layer2,8.82
bt,802.3ad-2NICs-layer2,144.03
bt,802.3ad-2NICs-layer2,142.51
bt,802.3ad-2NICs-layer2,144.30
is,802.3ad-2NICs-layer2,8.93
is,802.3ad-2NICs-layer2,8.80
ft,802.3ad-2NICs-layer2,81.25
is,802.3ad-2NICs-layer2,8.86
sp,802.3ad-2NICs-layer2,201.68
sp,802.3ad-2NICs-layer2,199.82
is,802.3ad-2NICs-layer2,8.74
ft,802.3ad-2NICs-layer2,81.58
bt,802.3ad-2NICs-layer2,143.66
ft,802.3ad-2NICs-layer2,81.50
bt,802.3ad-2NICs-layer2,143.99
sp,802.3ad-2NICs-layer2,200.17
sp,802.3ad-2NICs-layer2,201.61
ft,802.3ad-2NICs-layer2,81.46
sp,802.3ad-2NICs-layer2,200.96
ft,802.3ad-2NICs-layer2,81.54
bt,802.3ad-2NICs-layer2,144.62
is,802.3ad-2NICs-layer2,8.88
sp,802.3ad-2NICs-layer2,200.82
bt,802.3ad-2NICs-layer2,144.90
is,802.3ad-2NICs-layer2,8.69
ft,802.3ad-2NICs-layer2,81.78
ft,802.3ad-2NICs-layer2,81.49
sp,802.3ad-2NICs-layer2,200.30
bt,802.3ad-2NICs-layer2,144.60
ft,802.3ad-2NICs-layer2,81.58
ft,802.3ad-2NICs-layer2,81.64
is,802.3ad-2NICs-layer2,8.68
sp,802.3ad-2NICs-layer2,199.89
