apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-4NICs-layer2,0,26.50,0.00
intel,802.3ad-4NICs-layer2,1,25.69,0.04
intel,802.3ad-4NICs-layer2,2,25.57,0.08
intel,802.3ad-4NICs-layer2,4,25.58,0.16
intel,802.3ad-4NICs-layer2,8,25.71,0.31
intel,802.3ad-4NICs-layer2,16,25.58,0.63
intel,802.3ad-4NICs-layer2,32,25.74,1.24
intel,802.3ad-4NICs-layer2,64,23.29,2.75
intel,802.3ad-4NICs-layer2,128,19.39,6.60
intel,802.3ad-4NICs-layer2,256,19.48,13.14
intel,802.3ad-4NICs-layer2,512,20.08,25.49
intel,802.3ad-4NICs-layer2,1024,21.49,47.64
intel,802.3ad-4NICs-layer2,2048,24.67,83.01
intel,802.3ad-4NICs-layer2,4096,26.74,153.20
intel,802.3ad-4NICs-layer2,8192,35.72,229.32
intel,802.3ad-4NICs-layer2,16384,51.02,321.15
intel,802.3ad-4NICs-layer2,32768,77.81,421.14
intel,802.3ad-4NICs-layer2,65536,110.85,591.24
intel,802.3ad-4NICs-layer2,131072,164.20,798.23
intel,802.3ad-4NICs-layer2,262144,258.45,1014.29
intel,802.3ad-4NICs-layer2,524288,437.55,1198.25
intel,802.3ad-4NICs-layer2,1048576,783.65,1338.06
intel,802.3ad-4NICs-layer2,2097152,1644.11,1275.56
intel,802.3ad-4NICs-layer2,4194304,3262.24,1285.71
intel,802.3ad-4NICs-layer2,0,25.06,0.00
intel,802.3ad-4NICs-layer2,1,25.77,0.04
intel,802.3ad-4NICs-layer2,2,25.74,0.08
intel,802.3ad-4NICs-layer2,4,26.01,0.15
intel,802.3ad-4NICs-layer2,8,25.67,0.31
intel,802.3ad-4NICs-layer2,16,25.79,0.62
intel,802.3ad-4NICs-layer2,32,25.99,1.23
intel,802.3ad-4NICs-layer2,64,26.09,2.45
intel,802.3ad-4NICs-layer2,128,26.48,4.83
intel,802.3ad-4NICs-layer2,256,26.36,9.71
intel,802.3ad-4NICs-layer2,512,26.99,18.97
intel,802.3ad-4NICs-layer2,1024,28.21,36.29
intel,802.3ad-4NICs-layer2,2048,31.44,65.14
intel,802.3ad-4NICs-layer2,4096,39.18,104.54
intel,802.3ad-4NICs-layer2,8192,45.40,180.44
intel,802.3ad-4NICs-layer2,16384,67.65,242.20
intel,802.3ad-4NICs-layer2,32768,92.20,355.41
intel,802.3ad-4NICs-layer2,65536,110.89,590.97
intel,802.3ad-4NICs-layer2,131072,163.91,799.66
intel,802.3ad-4NICs-layer2,262144,258.74,1013.17
intel,802.3ad-4NICs-layer2,524288,433.34,1209.89
intel,802.3ad-4NICs-layer2,1048576,785.26,1335.33
intel,802.3ad-4NICs-layer2,2097152,1646.16,1273.97
intel,802.3ad-4NICs-layer2,4194304,3237.88,1295.38
intel,802.3ad-4NICs-layer2,0,27.17,0.00
intel,802.3ad-4NICs-layer2,1,26.79,0.04
intel,802.3ad-4NICs-layer2,2,26.78,0.07
intel,802.3ad-4NICs-layer2,4,26.69,0.15
intel,802.3ad-4NICs-layer2,8,26.70,0.30
intel,802.3ad-4NICs-layer2,16,26.69,0.60
intel,802.3ad-4NICs-layer2,32,27.08,1.18
intel,802.3ad-4NICs-layer2,64,26.94,2.38
intel,802.3ad-4NICs-layer2,128,27.20,4.71
intel,802.3ad-4NICs-layer2,256,27.06,9.46
