apps,bondmode,bytes,time,mbytes-sec
intel,802.3ad-4NICs-layer3+4,0,25.68,0.00
intel,802.3ad-4NICs-layer3+4,1,26.54,0.04
intel,802.3ad-4NICs-layer3+4,2,26.25,0.08
intel,802.3ad-4NICs-layer3+4,4,26.39,0.15
intel,802.3ad-4NICs-layer3+4,8,26.27,0.30
intel,802.3ad-4NICs-layer3+4,16,26.32,0.61
intel,802.3ad-4NICs-layer3+4,32,26.61,1.20
intel,802.3ad-4NICs-layer3+4,64,26.52,2.41
intel,802.3ad-4NICs-layer3+4,128,26.77,4.78
intel,802.3ad-4NICs-layer3+4,256,26.91,9.51
intel,802.3ad-4NICs-layer3+4,512,27.59,18.56
intel,802.3ad-4NICs-layer3+4,1024,28.89,35.45
intel,802.3ad-4NICs-layer3+4,2048,32.27,63.47
intel,802.3ad-4NICs-layer3+4,4096,40.12,102.08
intel,802.3ad-4NICs-layer3+4,8192,46.17,177.44
intel,802.3ad-4NICs-layer3+4,16384,68.63,238.73
intel,802.3ad-4NICs-layer3+4,32768,66.87,490.05
intel,802.3ad-4NICs-layer3+4,65536,113.77,576.05
intel,802.3ad-4NICs-layer3+4,131072,167.27,783.58
intel,802.3ad-4NICs-layer3+4,262144,259.46,1010.35
intel,802.3ad-4NICs-layer3+4,524288,438.65,1195.24
intel,802.3ad-4NICs-layer3+4,1048576,829.03,1264.83
intel,802.3ad-4NICs-layer3+4,2097152,1629.69,1286.84
intel,802.3ad-4NICs-layer3+4,4194304,3245.57,1292.32
intel,802.3ad-4NICs-layer3+4,0,26.55,0.00
intel,802.3ad-4NICs-layer3+4,1,25.60,0.04
intel,802.3ad-4NICs-layer3+4,2,25.69,0.08
intel,802.3ad-4NICs-layer3+4,4,25.59,0.16
intel,802.3ad-4NICs-layer3+4,8,25.80,0.31
intel,802.3ad-4NICs-layer3+4,16,25.36,0.63
intel,802.3ad-4NICs-layer3+4,32,25.80,1.24
intel,802.3ad-4NICs-layer3+4,64,25.89,2.47
intel,802.3ad-4NICs-layer3+4,128,26.23,4.88
intel,802.3ad-4NICs-layer3+4,256,26.16,9.78
intel,802.3ad-4NICs-layer3+4,512,26.89,19.04
intel,802.3ad-4NICs-layer3+4,1024,28.17,36.35
intel,802.3ad-4NICs-layer3+4,2048,31.01,66.05
intel,802.3ad-4NICs-layer3+4,4096,38.73,105.76
intel,802.3ad-4NICs-layer3+4,8192,44.87,182.56
intel,802.3ad-4NICs-layer3+4,16384,66.70,245.65
intel,802.3ad-4NICs-layer3+4,32768,51.91,631.26
intel,802.3ad-4NICs-layer3+4,65536,113.02,579.87
intel,802.3ad-4NICs-layer3+4,131072,163.94,799.51
intel,802.3ad-4NICs-layer3+4,262144,258.09,1015.70
intel,802.3ad-4NICs-layer3+4,524288,433.29,1210.01
intel,802.3ad-4NICs-layer3+4,1048576,790.64,1326.24
intel,802.3ad-4NICs-layer3+4,2097152,1697.27,1235.60
intel,802.3ad-4NICs-layer3+4,4194304,3430.81,1222.54
intel,802.3ad-4NICs-layer3+4,0,25.44,0.00
intel,802.3ad-4NICs-layer3+4,1,26.24,0.04
intel,802.3ad-4NICs-layer3+4,2,26.08,0.08
intel,802.3ad-4NICs-layer3+4,4,26.19,0.15
intel,802.3ad-4NICs-layer3+4,8,25.99,0.31
intel,802.3ad-4NICs-layer3+4,16,25.88,0.62
intel,802.3ad-4NICs-layer3+4,32,26.31,1.22
intel,802.3ad-4NICs-layer3+4,64,26.40,2.42
intel,802.3ad-4NICs-layer3+4,128,26.33,4.86
intel,802.3ad-4NICs-layer3+4,256,26.81,9.55
intel,802.3ad-4NICs-layer3+4,512,27.50,18.62
intel,802.3ad-4NICs-layer3+4,1024,28.31,36.16
intel,802.3ad-4NICs-layer3+4,2048,31.40,65.22
intel,802.3ad-4NICs-layer3+4,4096,39.82,102.87
intel,802.3ad-4NICs-layer3+4,8192,45.67,179.35
intel,802.3ad-4NICs-layer3+4,16384,67.57,242.48
intel,802.3ad-4NICs-layer3+4,32768,81.12,403.93
intel,802.3ad-4NICs-layer3+4,65536,112.69,581.58
intel,802.3ad-4NICs-layer3+4,131072,167.35,783.23
intel,802.3ad-4NICs-layer3+4,262144,259.59,1009.84
intel,802.3ad-4NICs-layer3+4,524288,441.39,1187.82
intel,802.3ad-4NICs-layer3+4,1048576,792.29,1323.48
intel,802.3ad-4NICs-layer3+4,2097152,1713.36,1224.00
intel,802.3ad-4NICs-layer3+4,4194304,3445.66,1217.27
intel,802.3ad-4NICs-layer3+4,0,24.98,0.00
intel,802.3ad-4NICs-layer3+4,1,25.33,0.04
intel,802.3ad-4NICs-layer3+4,2,25.76,0.08
intel,802.3ad-4NICs-layer3+4,4,25.61,0.16
intel,802.3ad-4NICs-layer3+4,8,25.82,0.31
intel,802.3ad-4NICs-layer3+4,16,25.36,0.63
intel,802.3ad-4NICs-layer3+4,32,25.55,1.25
intel,802.3ad-4NICs-layer3+4,64,25.93,2.47
intel,802.3ad-4NICs-layer3+4,128,26.69,4.80
intel,802.3ad-4NICs-layer3+4,256,26.60,9.62
intel,802.3ad-4NICs-layer3+4,512,27.12,18.88
intel,802.3ad-4NICs-layer3+4,1024,28.15,36.38
intel,802.3ad-4NICs-layer3+4,2048,31.60,64.80
intel,802.3ad-4NICs-layer3+4,4096,39.27,104.31
intel,802.3ad-4NICs-layer3+4,8192,45.57,179.77
intel,802.3ad-4NICs-layer3+4,16384,65.96,248.41
intel,802.3ad-4NICs-layer3+4,32768,56.11,583.95
intel,802.3ad-4NICs-layer3+4,65536,120.11,545.64
intel,802.3ad-4NICs-layer3+4,131072,165.97,789.74
intel,802.3ad-4NICs-layer3+4,262144,261.21,1003.57
intel,802.3ad-4NICs-layer3+4,524288,437.63,1198.02
intel,802.3ad-4NICs-layer3+4,1048576,897.40,1168.46
intel,802.3ad-4NICs-layer3+4,2097152,1804.46,1162.20
intel,802.3ad-4NICs-layer3+4,4194304,3547.48,1182.33
intel,802.3ad-4NICs-layer3+4,0,25.14,0.00
intel,802.3ad-4NICs-layer3+4,1,25.85,0.04
intel,802.3ad-4NICs-layer3+4,2,25.98,0.08
intel,802.3ad-4NICs-layer3+4,4,25.70,0.16
intel,802.3ad-4NICs-layer3+4,8,25.94,0.31
intel,802.3ad-4NICs-layer3+4,16,25.74,0.62
intel,802.3ad-4NICs-layer3+4,32,25.93,1.23
intel,802.3ad-4NICs-layer3+4,64,25.81,2.48
intel,802.3ad-4NICs-layer3+4,128,26.17,4.89
