apps,bondmode,time
is,802.3ad-4NICs-layer3+4,13.35
bt,802.3ad-4NICs-layer3+4,143.16
bt,802.3ad-4NICs-layer3+4,142.87
sp,802.3ad-4NICs-layer3+4,197.17
sp,802.3ad-4NICs-layer3+4,199.88
sp,802.3ad-4NICs-layer3+4,198.18
ft,802.3ad-4NICs-layer3+4,86.17
bt,802.3ad-4NICs-layer3+4,140.33
is,802.3ad-4NICs-layer3+4,12.88
bt,802.3ad-4NICs-layer3+4,144.60
sp,802.3ad-4NICs-layer3+4,195.00
ft,802.3ad-4NICs-layer3+4,85.14
sp,802.3ad-4NICs-layer3+4,197.08
sp,802.3ad-4NICs-layer3+4,194.88
sp,802.3ad-4NICs-layer3+4,196.83
ft,802.3ad-4NICs-layer3+4,85.61
sp,802.3ad-4NICs-layer3+4,197.41
ft,802.3ad-4NICs-layer3+4,85.61
is,802.3ad-4NICs-layer3+4,12.76
ft,802.3ad-4NICs-layer3+4,85.10
bt,802.3ad-4NICs-layer3+4,145.54
is,802.3ad-4NICs-layer3+4,12.26
bt,802.3ad-4NICs-layer3+4,144.68
is,802.3ad-4NICs-layer3+4,12.52
is,802.3ad-4NICs-layer3+4,12.40
sp,802.3ad-4NICs-layer3+4,197.24
is,802.3ad-4NICs-layer3+4,12.64
ft,802.3ad-4NICs-layer3+4,85.58
ft,802.3ad-4NICs-layer3+4,85.00
bt,802.3ad-4NICs-layer3+4,141.72
is,802.3ad-4NICs-layer3+4,13.16
is,802.3ad-4NICs-layer3+4,12.28
ft,802.3ad-4NICs-layer3+4,85.63
ft,802.3ad-4NICs-layer3+4,85.42
is,802.3ad-4NICs-layer3+4,12.78
is,802.3ad-4NICs-layer3+4,12.40
sp,802.3ad-4NICs-layer3+4,200.39
ft,802.3ad-4NICs-layer3+4,84.98
ft,802.3ad-4NICs-layer3+4,85.32
bt,802.3ad-4NICs-layer3+4,145.05
bt,802.3ad-4NICs-layer3+4,143.42
is,802.3ad-4NICs-layer3+4,12.15
ft,802.3ad-4NICs-layer3+4,85.95
sp,802.3ad-4NICs-layer3+4,197.97
is,802.3ad-4NICs-layer3+4,12.75
ft,802.3ad-4NICs-layer3+4,85.64
sp,802.3ad-4NICs-layer3+4,197.35
sp,802.3ad-4NICs-layer3+4,199.68
sp,802.3ad-4NICs-layer3+4,194.57
is,802.3ad-4NICs-layer3+4,12.38
is,802.3ad-4NICs-layer3+4,12.18
bt,802.3ad-4NICs-layer3+4,144.42
sp,802.3ad-4NICs-layer3+4,198.61
bt,802.3ad-4NICs-layer3+4,143.82
ft,802.3ad-4NICs-layer3+4,85.38
is,802.3ad-4NICs-layer3+4,12.83
sp,802.3ad-4NICs-layer3+4,193.20
